"_time","sum(counts)","_span"
1616338800,4730187,600
1616339400,4632337,600
1616340000,4628585,600
1616340600,4221196,600
1616341200,3520816,600
1616341800,3473910,600
1616342400,3515608,600
1616343000,3476715,600
1616343600,3529536,600
1616344200,3543209,600
1616344800,3582759,600
1616345400,3545774,600
1616346000,3718479,600
1616346600,3666425,600
1616347200,3655656,600
1616347800,3509607,600
1616348400,3409675,600
1616349000,3557426,600
1616349600,3520198,600
1616350200,4378256,600
1616350800,4176675,600
1616351400,4262658,600
1616352000,4179246,600
1616352600,3629540,600
1616353200,3631466,600
1616353800,3845993,600
1616354400,3913300,600
1616355000,3608300,600
1616355600,3644835,600
1616356200,3235761,600
1616356800,3376823,600
1616357400,3089509,600
1616358000,3545316,600
1616358600,4300376,600
1616359200,4359723,600
1616359800,4474717,600
1616360400,4045826,600
1616361000,4402586,600
1616361600,4453003,600
1616362200,4312001,600
1616362800,4146021,600
1616363400,3441643,600
1616364000,3653455,600
1616364600,4401050,600
1616365200,5159119,600
1616365800,4381255,600
1616366400,5221675,600
1616367000,5629527,600
1616367600,4715875,600
1616368200,5031101,600
1616368800,5607893,600
1616369400,5785803,600
1616370000,5569028,600
1616370600,5931682,600
1616371200,6153305,600
1616371800,6161179,600
1616372400,7844641,600
1616373000,7622905,600
1616373600,7473100,600
1616374200,7265040,600
1616374800,6640977,600
1616375400,6318355,600
1616376000,6393625,600
1616376600,6378855,600
1616377200,6506312,600
1616377800,6677689,600
1616378400,6617049,600
1616379000,6050319,600
1616379600,6185784,600
1616380200,6653735,600
1616380800,6967176,600
1616381400,7057509,600
1616382000,7373162,600
1616382600,7555204,600
1616383200,7869571,600
1616383800,7568067,600
1616384400,7495969,600
1616385000,7581974,600
1616385600,7115962,600
1616386200,6574157,600
1616386800,6443133,600
1616387400,6741975,600
1616388000,6897886,600
1616388600,6957289,600
1616389200,7010748,600
1616389800,6956219,600
1616390400,7666961,600
1616391000,8011054,600
1616391600,7929218,600
1616392200,7804255,600
1616392800,7824842,600
1616393400,7534139,600
1616394000,6721872,600
1616394600,6919104,600
1616395200,6780530,600
1616395800,6753670,600
1616396400,6685020,600
1616397000,6681983,600
1616397600,6746375,600
1616398200,6666597,600
1616398800,6535909,600
1616399400,6698268,600
1616400000,6802784,600
1616400600,6709547,600
1616401200,6380200,600
1616401800,6462640,600
1616402400,6331887,600
1616403000,6334046,600
1616403600,6093036,600
1616404200,5872774,600
1616404800,5682802,600
1616405400,5656205,600
1616406000,5557486,600
1616406600,5291560,600
1616407200,4979535,600
1616407800,4809570,600
1616408400,4546674,600
1616409000,4710633,600
1616409600,5158341,600
1616410200,5366218,600
1616410800,5980118,600
1616411400,5523576,600
1616412000,5084634,600
1616412600,4811481,600
1616413200,4275933,600
1616413800,4238662,600
1616414400,4289572,600
1616415000,4185557,600
1616415600,3913429,600
1616416200,4100970,600
1616416800,4039783,600
1616417400,3957135,600
1616418000,3952007,600
1616418600,4285901,600
1616419200,4448860,600
1616419800,4224580,600
1616420400,3856644,600
1616421000,3720054,600
1616421600,3729086,600
1616422200,3552418,600
1616422800,4071039,600
1616423400,4961184,600
1616424000,5120838,600
1616424600,4274371,600
